dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019
11/3/2020,11,3,2020,6,0,Hong Kong,HK,HKG,7451000
10/3/2020,10,3,2020,5,0,Hong Kong,HK,HKG,7451000
9/3/2020,9,3,2020,1,0,Hong Kong,HK,HKG,7451000
8/3/2020,8,3,2020,6,1,Hong Kong,HK,HKG,7451000
7/3/2020,7,3,2020,1,0,Hong Kong,HK,HKG,7451000
6/3/2020,6,3,2020,2,0,Hong Kong,HK,HKG,7451000
5/3/2020,5,3,2020,0,0,Hong Kong,HK,HKG,7451000
4/3/2020,4,3,2020,5,0,Hong Kong,HK,HKG,7451000
3/3/2020,3,3,2020,0,0,Hong Kong,HK,HKG,7451000
2/3/2020,2,3,2020,1,0,Hong Kong,HK,HKG,7451000
1/3/2020,1,3,2020,4,0,Hong Kong,HK,HKG,7451000
29/2/2020,29,2,2020,1,0,Hong Kong,HK,HKG,7451000
28/2/2020,28,2,2020,1,0,Hong Kong,HK,HKG,7451000
27/2/2020,27,2,2020,2,0,Hong Kong,HK,HKG,7451000
26/2/2020,26,2,2020,6,0,Hong Kong,HK,HKG,7451000
25/2/2020,25,2,2020,5,0,Hong Kong,HK,HKG,7451000
24/2/2020,24,2,2020,5,0,Hong Kong,HK,HKG,7451000
23/2/2020,23,2,2020,5,0,Hong Kong,HK,HKG,7451000
22/2/2020,22,2,2020,1,0,Hong Kong,HK,HKG,7451000
21/2/2020,21,2,2020,0,0,Hong Kong,HK,HKG,7451000
20/2/2020,20,2,2020,5,0,Hong Kong,HK,HKG,7451000
19/2/2020,19,2,2020,1,1,Hong Kong,HK,HKG,7451000
18/2/2020,18,2,2020,2,0,Hong Kong,HK,HKG,7451000
17/2/2020,17,2,2020,3,0,Hong Kong,HK,HKG,7451000
16/2/2020,16,2,2020,1,0,Hong Kong,HK,HKG,7451000
15/2/2020,15,2,2020,0,0,Hong Kong,HK,HKG,7451000
14/2/2020,14,2,2020,3,0,Hong Kong,HK,HKG,7451000
13/2/2020,13,2,2020,3,0,Hong Kong,HK,HKG,7451000
12/2/2020,12,2,2020,1,0,Hong Kong,HK,HKG,7451000
11/2/2020,11,2,2020,11,0,Hong Kong,HK,HKG,7451000
10/2/2020,10,2,2020,9,0,Hong Kong,HK,HKG,7451000
9/2/2020,9,2,2020,3,0,Hong Kong,HK,HKG,7451000
8/2/2020,8,2,2020,1,0,Hong Kong,HK,HKG,7451000
7/2/2020,7,2,2020,1,0,Hong Kong,HK,HKG,7451000
6/2/2020,6,2,2020,3,0,Hong Kong,HK,HKG,7451000
5/2/2020,5,2,2020,4,0,Hong Kong,HK,HKG,7451000
4/2/2020,4,2,2020,2,1,Hong Kong,HK,HKG,7451000
3/2/2020,3,2,2020,0,0,Hong Kong,HK,HKG,7451000
2/2/2020,2,2,2020,2,0,Hong Kong,HK,HKG,7451000
1/2/2020,1,2,2020,1,0,Hong Kong,HK,HKG,7451000
31/1/2020,31,1,2020,2,0,Hong Kong,HK,HKG,7451000
30/1/2020,30,1,2020,0,0,Hong Kong,HK,HKG,7451000
29/1/2020,29,1,2020,2,0,Hong Kong,HK,HKG,7451000
28/1/2020,28,1,2020,0,0,Hong Kong,HK,HKG,7451000
27/1/2020,27,1,2020,0,0,Hong Kong,HK,HKG,7451000
26/1/2020,26,1,2020,3,0,Hong Kong,HK,HKG,7451000
25/1/2020,25,1,2020,3,0,Hong Kong,HK,HKG,7451000
24/1/2020,24,1,2020,0,0,Hong Kong,HK,HKG,7451000
23/1/2020,23,1,2020,2,0,Hong Kong,HK,HKG,7451000
